Symbol,Date,Open,High,Low,Close,Volume
A,14-Oct-2021,151.62,153.48,151.62,152.59,1434100
AA,14-Oct-2021,49.29,50.04,48.06,48.6,9971200
AAA,14-Oct-2021,25,25,25,25,100
AAAU,14-Oct-2021,17.88,17.9,17.85,17.8644,149400
AAC,14-Oct-2021,9.77,9.77,9.74,9.76,89700
AAC.U,14-Oct-2021,9.92,9.92,9.92,9.92,500
AAC.W,14-Oct-2021,0.8998,0.8998,0.8701,0.8996,900
AACG,14-Oct-2021,2.34,2.34,2.26,2.2801,17900
AADI,14-Oct-2021,27.49,27.83,26.5625,26.78,70400
AADR,14-Oct-2021,64.98,65.363,64.98,65.363,2400
AAIC,14-Oct-2021,3.9,4,3.895,3.99,481500
AAI-C,14-Oct-2021,25.35,25.35,25.35,25.35,500
AAIN,14-Oct-2021,25.08,25.49,25.05,25.47,26600
AAL,14-Oct-2021,19.775,19.9364,19.585,19.64,21544500
AAMC,14-Oct-2021,23.65,24.4054,23.49,24.35,3600
AAME,14-Oct-2021,4.29,4.4,4.25,4.4,9400
AAN,14-Oct-2021,27.26,27.82,26.9,27.62,131800
AAOI,14-Oct-2021,7.25,7.58,7.25,7.34,362000
AAON,14-Oct-2021,68.04,69.62,67.8,69.29,69100
AAP,14-Oct-2021,211.2,216.18,210.32,214.86,385300
AAPL,14-Oct-2021,142.11,143.88,141.51,143.76,69907100
AAQ.U,14-Oct-2021,10,10.01,10,10.0004,6000
AAQ.W,14-Oct-2021,0.9402,0.9499,0.9401,0.9499,2600
AAQC,14-Oct-2021,9.71,9.73,9.71,9.73,5400
AAT,14-Oct-2021,39.74,39.925,39.59,39.75,104400
AATC,14-Oct-2021,7,7.1,6.91,6.91,12200
AAU,14-Oct-2021,0.39,0.39,0.3884,0.39,563900
AAWW,14-Oct-2021,80.5,81.94,79.03,79.44,723300
AAXJ,14-Oct-2021,86.49,86.64,86.055,86.44,718300
AB,14-Oct-2021,50.75,52.34,50.5109,52.23,230000
ABB,14-Oct-2021,34.22,34.54,34.11,34.51,1319300
ABBV,14-Oct-2021,107.96,108.99,107.8,108.91,7290400
ABC,14-Oct-2021,119.67,120.705,118.53,120.11,711000
ABCB,14-Oct-2021,52.88,52.88,52.03,52.78,234400
ABCL,14-Oct-2021,15.58,16.37,15.54,15.91,1304100
ABCM,14-Oct-2021,20.85,21.19,20.81,21.07,24800
ABEO,14-Oct-2021,0.88,0.907,0.88,0.8906,489900
ABEQ,14-Oct-2021,27.72,27.72,27.6525,27.6525,300
ABEV,14-Oct-2021,2.77,2.79,2.74,2.77,12761800
ABG,14-Oct-2021,214.84,214.84,209.17,210.92,120900
ABGI,14-Oct-2021,9.7,9.75,9.7,9.75,23900
ABIO,14-Oct-2021,2.86,2.89,2.82,2.83,109200
ABM,14-Oct-2021,45.46,46.2,45.08,46,220900
ABMD,14-Oct-2021,339.03,346.22,339.03,345.07,182100
ABNB,14-Oct-2021,175.24,176.75,170.04,170.5,4145200
ABOS,14-Oct-2021,14.5,14.5,13.72,13.93,50300
ABR,14-Oct-2021,19.2,19.23,19.06,19.21,740300
ABR-D,14-Oct-2021,25.14,25.28,25.14,25.2,33400
ABR-E,14-Oct-2021,25.21,25.21,25.04,25.13,41200
ABSI,14-Oct-2021,10.59,11.1467,10.42,10.59,68200
ABST,14-Oct-2021,11.3,11.47,11.27,11.35,75700
ABT,14-Oct-2021,116.66,117.68,116.64,117.57,4977800
ABTX,14-Oct-2021,38.64,38.64,38.18,38.56,39500
ABUS,14-Oct-2021,4.16,4.18,3.995,4.15,2056100
ABVC,14-Oct-2021,2.45,2.5,2.35,2.46,2943500
AC,14-Oct-2021,39.14,39.18,38.07,38.07,2200
ACA,14-Oct-2021,52.08,52.53,51.96,52.36,107300
ACAD,14-Oct-2021,17.41,17.84,16.64,17.82,2800500
ACAHW,14-Oct-2021,0.56,0.568,0.56,0.568,300
ACB,14-Oct-2021,7.17,7.4399,7.14,7.26,3384200
ACBA,14-Oct-2021,10.0517,10.0517,10.0517,10.0517,100
ACBAW,14-Oct-2021,0.5349,0.5349,0.5299,0.5299,3000
ACBI,14-Oct-2021,27.26,27.44,27.05,27.38,54000
ACC,14-Oct-2021,51.79,52.079,51.54,51.97,307600
ACCD,14-Oct-2021,39.15,40.115,38.55,39.6,748600
ACCO,14-Oct-2021,8.97,9.04,8.881,8.95,265200
ACEL,14-Oct-2021,12,12.135,11.96,12.04,134900
